LoggerCode,Year,DayOfYear,Hour,Minute,SiteID,AverageVoltage,SensitID,PulseCountSum
101,2022,276,1700,0,9734,12.7,1298,0
101,2022,276,1800,0,9734,12.67,1298,0
101,2022,276,1900,0,9734,12.64,1298,0
101,2022,276,2000,0,9734,12.61,1298,0
101,2022,276,2100,0,9734,12.58,1298,0
101,2022,276,2200,0,9734,12.54,1298,0
101,2022,276,2300,0,9734,12.52,1298,0
101,2022,277,000,0,9734,12.49,1298,0
101,2022,277,100,0,9734,12.47,1298,0
101,2022,277,200,0,9734,12.45,1298,0
101,2022,277,300,0,9734,12.42,1298,0
101,2022,277,400,0,9734,12.4,1298,0
101,2022,277,500,0,9734,12.22,1298,0
101,2022,277,600,0,9734,12.18,1298,0
101,2022,277,700,0,9734,12.72,1298,0
101,2022,277,800,0,9734,13.37,1298,0
101,2022,277,900,0,9734,13.79,1298,0
101,2022,277,1000,0,9734,13.68,1298,0
101,2022,277,1100,0,9734,13.47,1298,0
101,2022,277,1200,0,9734,13.47,1298,0
101,2022,277,1300,0,9734,13.45,1298,0
101,2022,277,1400,0,9734,13.4,1298,0
101,2022,277,1500,0,9734,12.83,1298,0
101,2022,277,1600,0,9734,12.59,1298,0
101,2022,277,1700,0,9734,12.71,1298,0
101,2022,277,1800,0,9734,12.67,1298,0
101,2022,277,1900,0,9734,12.65,1298,0
101,2022,277,2000,0,9734,12.62,1298,0
101,2022,277,2100,0,9734,12.58,1298,0
101,2022,277,2200,0,9734,12.56,1298,0
101,2022,277,2300,0,9734,12.53,1298,0
101,2022,278,000,0,9734,12.5,1298,0
101,2022,278,100,0,9734,12.48,1298,0
101,2022,278,200,0,9734,12.46,1298,0
101,2022,278,300,0,9734,12.44,1298,0
101,2022,278,400,0,9734,12.42,1298,0
101,2022,278,500,0,9734,12.21,1298,0
101,2022,278,600,0,9734,12.18,1298,0
101,2022,278,700,0,9734,12.72,1298,0
101,2022,278,800,0,9734,13.42,1298,0
101,2022,278,900,0,9734,13.85,1298,0
101,2022,278,1000,0,9734,13.62,1298,0
101,2022,278,1100,0,9734,13.48,1298,0
101,2022,278,1200,0,9734,13.47,1298,0
101,2022,278,1300,0,9734,13.45,1298,0
101,2022,278,1400,0,9734,13.39,1298,0
101,2022,278,1500,0,9734,12.83,1298,0
101,2022,278,1600,0,9734,12.58,1298,0
101,2022,278,1700,0,9734,12.71,1298,0
101,2022,278,1800,0,9734,12.67,1298,0
101,2022,278,1900,0,9734,12.64,1298,0
101,2022,278,2000,0,9734,12.61,1298,0
101,2022,278,2100,0,9734,12.58,1298,0
101,2022,278,2200,0,9734,12.55,1298,0
101,2022,278,2300,0,9734,12.53,1298,0
101,2022,279,000,0,9734,12.5,1298,0
101,2022,279,100,0,9734,12.48,1298,0
101,2022,279,200,0,9734,12.46,1298,0
101,2022,279,300,0,9734,12.44,1298,0
101,2022,279,400,0,9734,12.42,1298,0
101,2022,279,500,0,9734,12.22,1298,0
101,2022,279,600,0,9734,12.18,1298,0
101,2022,279,700,0,9734,12.67,1298,0
101,2022,279,800,0,9734,13.38,1298,0
101,2022,279,900,0,9734,13.8,1298,0
101,2022,279,1000,0,9734,13.69,1298,0
101,2022,279,1100,0,9734,13.48,1298,0
101,2022,279,1200,0,9734,13.47,1298,0
101,2022,279,1300,0,9734,13.45,1298,0
101,2022,279,1400,0,9734,13.38,1298,0
101,2022,279,1500,0,9734,12.82,1298,0
101,2022,279,1600,0,9734,12.58,1298,0
101,2022,279,1700,0,9734,12.7,1298,0
101,2022,279,1800,0,9734,12.66,1298,0
101,2022,279,1900,0,9734,12.63,1298,0
101,2022,279,2000,0,9734,12.6,1298,0
101,2022,279,2100,0,9734,12.57,1298,0
101,2022,279,2200,0,9734,12.53,1298,0
101,2022,279,2300,0,9734,12.5,1298,0
101,2022,280,000,0,9734,12.48,1298,0
101,2022,280,100,0,9734,12.46,1298,0
101,2022,280,200,0,9734,12.44,1298,0
101,2022,280,300,0,9734,12.42,1298,0
101,2022,280,400,0,9734,12.4,1298,0
101,2022,280,500,0,9734,12.2,1298,0
101,2022,280,600,0,9734,12.17,1298,0
101,2022,280,700,0,9734,12.67,1298,0
101,2022,280,800,0,9734,13.38,1298,0
101,2022,280,900,0,9734,13.78,1298,0
101,2022,280,1000,0,9734,13.69,1298,0
101,2022,280,1100,0,9734,13.48,1298,0
101,2022,280,1200,0,9734,13.47,1298,0
101,2022,280,1300,0,9734,13.45,1298,0
101,2022,280,1400,0,9734,13.39,1298,0
101,2022,280,1500,0,9734,12.82,1298,0
101,2022,280,1600,0,9734,12.57,1298,0
101,2022,280,1700,0,9734,12.71,1298,0
101,2022,280,1800,0,9734,12.67,1298,0
101,2022,280,1900,0,9734,12.64,1298,0
101,2022,280,2000,0,9734,12.61,1298,0
101,2022,280,2100,0,9734,12.57,1298,0
101,2022,280,2200,0,9734,12.55,1298,0
101,2022,280,2300,0,9734,12.52,1298,0
101,2022,281,000,0,9734,12.49,1298,0
101,2022,281,100,0,9734,12.47,1298,0
101,2022,281,200,0,9734,12.45,1298,0
101,2022,281,300,0,9734,12.44,1298,0
101,2022,281,400,0,9734,12.42,1298,0
101,2022,281,500,0,9734,12.21,1298,0
101,2022,281,600,0,9734,12.18,1298,0
101,2022,281,700,0,9734,12.68,1298,0
101,2022,281,800,0,9734,13.39,1298,0
101,2022,281,900,0,9734,13.82,1298,0
101,2022,281,1000,0,9734,13.64,1298,0
101,2022,281,1100,0,9734,13.47,1298,0
101,2022,281,1200,0,9734,13.46,1298,0
101,2022,281,1300,0,9734,13.46,1298,0
101,2022,281,1400,0,9734,13.39,1298,0
101,2022,281,1500,0,9734,12.82,1298,0
101,2022,281,1600,0,9734,12.57,1298,0
101,2022,281,1700,0,9734,12.7,1298,0
101,2022,281,1800,0,9734,12.66,1298,0
101,2022,281,1900,0,9734,12.64,1298,0
101,2022,281,2000,0,9734,12.6,1298,0
101,2022,281,2100,0,9734,12.57,1298,0
101,2022,281,2200,0,9734,12.54,1298,0
101,2022,281,2300,0,9734,12.52,1298,0
101,2022,282,000,0,9734,12.49,1298,0
101,2022,282,100,0,9734,12.47,1298,0
101,2022,282,200,0,9734,12.45,1298,0
101,2022,282,300,0,9734,12.43,1298,0
101,2022,282,400,0,9734,12.41,1298,0
101,2022,282,500,0,9734,12.2,1298,0
101,2022,282,600,0,9734,12.16,1298,0
101,2022,282,700,0,9734,12.55,1298,0
101,2022,282,800,0,9734,13.07,1298,0
101,2022,282,900,0,9734,13.17,1298,0
101,2022,282,1000,0,9734,13.7,1298,0
101,2022,282,1100,0,9734,13.7,1298,0
101,2022,282,1200,0,9734,13.47,1298,0
101,2022,282,1300,0,9734,13.45,1298,0
101,2022,282,1400,0,9734,13.1,1298,0
101,2022,282,1500,0,9734,12.76,1298,0
101,2022,282,1600,0,9734,12.55,1298,0
101,2022,282,1700,0,9734,12.69,1298,0
101,2022,282,1800,0,9734,12.64,1298,0
101,2022,282,1900,0,9734,12.62,1298,0
101,2022,282,2000,0,9734,12.59,1298,0
101,2022,282,2100,0,9734,12.55,1298,0
101,2022,282,2200,0,9734,12.52,1298,0
101,2022,282,2300,0,9734,12.49,1298,0
101,2022,283,000,0,9734,12.47,1298,0
101,2022,283,100,0,9734,12.45,1298,0
101,2022,283,200,0,9734,12.43,1298,0
101,2022,283,300,0,9734,12.41,1298,0
101,2022,283,400,0,9734,12.39,1298,0
101,2022,283,500,0,9734,12.19,1298,0
101,2022,283,600,0,9734,12.15,1298,0
101,2022,283,700,0,9734,12.35,1298,0
101,2022,283,800,0,9734,13.32,1298,0
101,2022,283,900,0,9734,13.61,1298,0
101,2022,283,1000,0,9734,13.87,1298,0
101,2022,283,1100,0,9734,13.47,1298,0
101,2022,283,1200,0,9734,13.46,1298,0
101,2022,283,1300,0,9734,13.45,1298,0
